swept_param,swept_value,landing_position_error,landing_velocity,final_angle,total_control_effort,crashed,steps_taken,mean_sqp_iterations,max_sqp_iterations,mean_solve_time_s,total_solve_time_s,n_solver_failures
state_trust_region_penalty_mpc,1.0,0.47036208338801194,1.0529521521902454,0.05355121113375645,18838962.830477446,False,300,3.0,3.0,0.03098916934104636,9.296750802313909,0
state_trust_region_penalty_mpc,5.0,0.47036393503162954,1.0529477493203911,0.05357416997421669,18838963.079929527,False,300,3.0,3.0,0.03213933200342581,9.641799601027742,0
state_trust_region_penalty_mpc,10.0,0.47036624886568745,1.052942247638691,0.053602852385950715,18838963.391999155,False,300,3.0,3.0,0.03100540634399901,9.301621903199703,0
state_trust_region_penalty_mpc,50.0,0.4703847476590409,1.0528983006011114,0.053831721388818206,18838965.897930242,False,300,3.0,3.0,0.031006239336760093,9.301871801028028,0
state_trust_region_penalty_mpc,100.0,0.47040792455529,1.0528434841671594,0.05411660558058751,18838969.04979346,False,300,3.0,3.0,0.031041851668463398,9.31255550053902,0
state_trust_region_penalty_mpc,500.0,0.47061375557420115,1.052398368097419,0.05641032381603539,18838994.139980875,False,300,3.0,3.0,0.030917654662237812,9.275296398671344,0
state_trust_region_penalty_mpc,1000.0,0.47102303015572417,1.05175796018507,0.05968235537700866,18839019.96796162,False,300,3.0,3.0,0.031026810004065434,9.30804300121963,0
control_trust_region_penalty_mpc,1.0,0.4539416420342145,1.0637275351199336,0.006954163357621106,18840533.19575871,False,300,3.0,3.0,0.0323851376826254,9.715541304787621,0
control_trust_region_penalty_mpc,5.0,0.4578444782408335,1.061257559772747,0.007092893230346103,18839965.278635435,False,300,3.0,3.0,0.03109368266304955,9.328104798914865,0
control_trust_region_penalty_mpc,10.0,0.47036624886568745,1.052942247638691,0.053602852385950715,18838963.391999155,False,300,3.0,3.0,0.03092673366656527,9.27802009996958,0
control_trust_region_penalty_mpc,50.0,0.530652354688713,1.3175087779485004,0.15470653360459172,18193265.764340043,False,294,3.0,3.0,0.030494272111769336,8.965316000860184,0
control_trust_region_penalty_mpc,100.0,0.9663491490572251,2.694721817123421,0.1514303857893682,12436465.056009455,False,225,3.0,3.0,0.030514452011427946,6.865751702571288,0
control_trust_region_penalty_mpc,500.0,0.9990098490171537,7.433861221590201,0.20021900143054597,3419754.3558380185,True,154,3.0,3.0,0.030143033776601606,4.6420272015966475,0
control_trust_region_penalty_mpc,1000.0,0.9393672596963744,8.460539991106437,0.21484229392165216,2253321.14603652,False,146,3.0,3.0,0.03021248423634735,4.411022698506713,0
disturbance_magnitude,0.0,0.47036624886568745,1.052942247638691,0.053602852385950715,18838963.391999155,False,300,3.0,3.0,0.031292545010025305,9.38776350300759,0
disturbance_magnitude,2.0,0.4539533641481483,1.0462967051167202,0.08786631780522722,18838347.243915997,False,300,3.0,3.0,0.03154786233091727,9.46435869927518,0
disturbance_magnitude,5.0,0.43227775630489046,1.038704958789823,0.13358793092249885,18836231.052915655,False,300,3.0,3.0,0.030420361663370084,9.126108499011025,0
disturbance_magnitude,8.0,0.41287445082095886,1.0395156963890464,0.15604410830339846,18833472.763921186,False,300,3.0,3.0,0.030591881996951998,9.1775645990856,0
disturbance_magnitude,12.0,0.3959399279686079,1.04309519461689,0.17065252442035495,18830363.96738413,False,300,3.0,3.0,0.03056978599711632,9.170935799134895,0
disturbance_magnitude,18.0,0.39783181233099,1.0484493278268563,0.1794358875122178,18826541.697102044,False,300,3.0,3.0,0.03048489100066945,9.145467300200835,0
disturbance_magnitude,25.0,0.44491489363815445,1.0537687733045522,0.1830628768681799,18822895.944198932,False,300,3.0,3.0,0.030462674005733183,9.138802201719955,0
